,tweet_count,tweet_source,tweet_text,tweet_date,tweet_comp_score,tweet_neg_score,tweet_pos_score,tweet_neu_score
92,92,The New York Times,Have a question about how and why The New York Times reports sensitive topics like the recent Rosenstein story? The… https://t.co/KxEkgBxfLv,Sat Sep 22 20:40:05 +0000 2018,0.3612,0.0,0.116,0.884
93,93,The New York Times,What does rat laughter sound like? The audiovisual edition of @NYTmag shows how much you can learn about the world… https://t.co/AY9bEVEIEb,Sat Sep 22 20:25:25 +0000 2018,0.6908,0.0,0.231,0.769
94,94,The New York Times,Sign up to get the Race/Related newsletter by email https://t.co/frg5tK6At9,Sat Sep 22 20:22:15 +0000 2018,0.0,0.0,0.0,1.0
95,95,The New York Times,RT @NYTArchives: In 1876 The Belgian Society for the Elevation of the Domestic Cat trained postal cats. https://t.co/9wo6ES8uIz #caturday h…,Sat Sep 22 20:11:01 +0000 2018,0.0,0.0,0.0,1.0
96,96,The New York Times,"""He's just not fit for that office and he needs to be removed,"" said David Gosar, brother of Arizona Republican Rep… https://t.co/BJl8wQUESc",Sat Sep 22 19:55:05 +0000 2018,-0.2755,0.091,0.0,0.909
97,97,The New York Times,"In Opinion

Op-Ed contributor Rodrigo Zeidan writes, ""People in countries that have experienced bouts of hyperinfla… https://t.co/pSsnvFmlKq",Sat Sep 22 19:40:06 +0000 2018,0.0,0.0,0.0,1.0
98,98,The New York Times,"What do students gain when teachers share their ethnic or racial identity? In this week's Race/Related newsletter,… https://t.co/yr3nePnnlb",Sat Sep 22 19:25:05 +0000 2018,0.6808,0.0,0.259,0.741
99,99,The New York Times,RT @SherylNYT: Full story here. Blasey has accepted Grassley offer to testify next week -- BUT wants additional time to negotiate details.…,Sat Sep 22 19:19:30 +0000 2018,0.1406,0.0,0.069,0.931
100,100,BBC News (World),Viewpoint: What India's first newspaper says about democracy https://t.co/I9wdqMqMI4,Fri Sep 21 23:10:09 +0000 2018,0.0,0.0,0.0,1.0
101,101,BBC News (World),Canadian politician says a family can eat on $75 a week https://t.co/GDAWrro8kA,Fri Sep 21 22:32:48 +0000 2018,0.0,0.0,0.0,1.0
102,102,BBC News (World),Canadian funfair rape plaintiff 'victim blamed' https://t.co/KxdQpDkn5s,Fri Sep 21 20:58:37 +0000 2018,-0.872,0.712,0.0,0.288
103,103,BBC News (World),RT @bbcweather: #StormBronagh has raced away from the UK and is battering Norway where recent coastal gusts have reached 96mph! CF,Fri Sep 21 20:57:35 +0000 2018,0.1759,0.0,0.078,0.922
104,104,BBC News (World),RT @BBCNewshour: Kenya's courts overturn ban on lesbian romance @rafikimovie. Dr. @EzekielMutua of Kenya's Film Classification Board explai…,Fri Sep 21 20:52:50 +0000 2018,0.0,0.155,0.155,0.69
105,105,BBC News (World),"Yes, these lips are r-eel 😮 

(Tap to expand) https://t.co/zoipbop0uR https://t.co/PGhl5rBzPW",Fri Sep 21 20:21:13 +0000 2018,0.4019,0.0,0.172,0.828
106,106,BBC News (World),Rod Rosenstein denies voicing plot to remove Trump https://t.co/42cEh2gxX2,Fri Sep 21 19:11:02 +0000 2018,-0.4215,0.259,0.0,0.741
107,107,BBC News (World),Man killed in electric scooter crash in Washington DC https://t.co/KogK8aljCx,Fri Sep 21 19:02:26 +0000 2018,-0.802,0.474,0.0,0.526
108,108,BBC News (World),RT @BBCAfrica: Anxious wait for relatives in Tanzania ferry disaster https://t.co/NMQw2ROWEM https://t.co/m9KzJO4UIG,Fri Sep 21 18:23:29 +0000 2018,-0.7269,0.379,0.0,0.621
109,109,BBC News (World),Kenya briefly lifts ban on lesbian film Rafiki ahead of Oscars https://t.co/oZE2EpCHK8,Fri Sep 21 17:25:41 +0000 2018,-0.5574,0.247,0.0,0.753
110,110,BBC News (World),Three infants among five people stabbed at New York nursery https://t.co/JXY7JOiYLJ,Fri Sep 21 16:31:16 +0000 2018,-0.4404,0.225,0.0,0.775
111,111,BBC News (World),"RT @danroan: ""A devastating blow"". @usantidoping chief Travis Tygart tells us WADA have let down clean athletes by reinstating Russia. ICYM…",Fri Sep 21 16:01:34 +0000 2018,-0.3818,0.165,0.104,0.731
112,112,BBC News (World),First soldiers identified from remains returned by North Korea https://t.co/EhuQObXX4j,Fri Sep 21 15:42:35 +0000 2018,0.0,0.0,0.0,1.0
113,113,BBC News (World),CCTV footage shows hillside disintegrate as villages in Cebu province of Philippines engulfed by landslide… https://t.co/Rg2Z7lxjtL,Fri Sep 21 15:36:09 +0000 2018,0.0,0.0,0.0,1.0
114,114,BBC News (World),RT @BBCBarbaraPlett: .@SecPompeo tells the BBC that the #UN Security Council meeting next week will be on nonproliferation with a heavy foc…,Fri Sep 21 15:30:46 +0000 2018,0.34,0.0,0.107,0.893
115,115,BBC News (World),"Facebook stops sending staff to help political campaigns 

https://t.co/W8x63coI3A",Fri Sep 21 15:08:04 +0000 2018,0.2732,0.142,0.239,0.619
116,116,BBC News (World),India bishop accused of rape arrested in Kerala https://t.co/Sw9gX0FmLw,Fri Sep 21 14:47:32 +0000 2018,-0.875,0.625,0.0,0.375
117,117,BBC News (World),Pablo Escobar museum in Colombia shut down https://t.co/QRmhiqkdFB,Fri Sep 21 14:23:31 +0000 2018,0.0,0.0,0.0,1.0
118,118,BBC News (World),Peggy Knobloch: Man admits dumping missing German girl's body https://t.co/mLWOhYrkCR,Fri Sep 21 14:16:13 +0000 2018,-0.3182,0.328,0.161,0.511
119,119,BBC News (World),James Ricketson: Jailed Australian filmmaker granted Cambodia royal pardon https://t.co/PYEfrZfKh4,Fri Sep 21 13:43:40 +0000 2018,0.0258,0.221,0.297,0.483
120,120,CBS News,RT @CBSThisMorning: A mother broke down in tears this morning when she was reunited with her 11-year-old son at Washington Dulles Internati…,Sat Sep 22 17:17:57 +0000 2018,-0.5719,0.198,0.0,0.802
121,121,CBS News,Floodwaters are still threatening North Carolina more than a week after Florence made landfall… https://t.co/FYjqJX7Hzk,Sat Sep 22 16:39:49 +0000 2018,-0.5267,0.207,0.0,0.793
122,122,CBS News,Mother tearfully reunites with 11-year-old son who was detained by ICE for more than six months and separated from… https://t.co/Sf58k6bfUB,Sat Sep 22 16:19:36 +0000 2018,-0.4019,0.124,0.0,0.876
123,123,CBS News,Investigation finds proper procedure wasn't followed when a University of Maryland football player collapsed after… https://t.co/Udz5NnFO3A,Sat Sep 22 16:00:01 +0000 2018,-0.2732,0.13,0.0,0.87
124,124,CBS News,"GOODBYE, BANDIT: Private memorial service held for Burt Reynolds https://t.co/NHWT49hBnV https://t.co/kI8IG4gJfy",Sat Sep 22 15:39:48 +0000 2018,0.0,0.0,0.0,1.0
125,125,CBS News,FEMA Administrator Brock Long used government vehicles without proper authorization — but won't lose his job over i… https://t.co/CIyEIiLOZb,Sat Sep 22 15:23:37 +0000 2018,0.438,0.0,0.145,0.855
126,126,CBS News,"He helped set off the Boston Tea Party, wrote one of the first major abolition texts and signed the Declaration of… https://t.co/e2PWzyGiZY",Sat Sep 22 14:59:41 +0000 2018,0.4019,0.0,0.114,0.886
127,127,CBS News,"2 adults, 2 children found dead in burning Nevada house in apparent murder-suicide https://t.co/FPASCQUJ36 https://t.co/uYjkpW3s1l",Sat Sep 22 14:39:49 +0000 2018,-0.6486,0.264,0.0,0.736
128,128,CBS News,"As the high-stakes standoff with Kavanaugh accuser Chrstine Blasey Ford stretches into the weekend, it remains uncl… https://t.co/AnDgqLGmVb",Sat Sep 22 14:19:44 +0000 2018,0.0,0.0,0.0,1.0
129,129,CBS News,"Gunmen kill at least 24 in attack on Iran's annual military parade, the country's bloodiest assault in years… https://t.co/AiMbrVDjNF",Sat Sep 22 13:59:48 +0000 2018,-0.9118,0.42,0.0,0.58
130,130,CBS News,"Fear. Guilt. Shame.

Sexual assault survivors explain the reasons they wait to come forward: https://t.co/E4sN4Uvvbo https://t.co/xPGg5Gk43u",Sat Sep 22 13:39:37 +0000 2018,-0.9042,0.504,0.0,0.496
131,131,CBS News,#Oops: Twitter finds bug that may have sent direct messages to the wrong people https://t.co/9Y4Cj8gM8y https://t.co/H2YjbHcCXz,Sat Sep 22 13:19:39 +0000 2018,-0.4767,0.171,0.0,0.829
132,132,CBS News,"When Hurricane Maria devastated Puerto Rico, CBS News’ @DavidBegnaud was there. Now, a year later, he returns for a… https://t.co/k3WDyMAs1H",Sat Sep 22 13:04:48 +0000 2018,-0.6124,0.182,0.0,0.818
133,133,CBS News,Tiffany Haddish tells Stephen Colbert she doesn’t need a man https://t.co/TEQ1OrgYZ5 https://t.co/bd7aKbPfdT,Sat Sep 22 13:03:04 +0000 2018,0.0,0.0,0.0,1.0
134,134,CBS News,"Cody Wilson, 3D-printed gun company owner accused of sex with girl, is arrested in Taiwan https://t.co/dC3VOYTVdj https://t.co/kcLK8953de",Sat Sep 22 12:48:03 +0000 2018,-0.7717,0.355,0.0,0.645
135,135,CBS News,Survivors explain not reporting sexual assaults https://t.co/bhtSFLIIbt https://t.co/u2NSWNu5K5,Sat Sep 22 12:45:11 +0000 2018,0.431,0.0,0.289,0.711
136,136,CBS News,New law lets consumers freeze credit for free https://t.co/bN6BZCVT4o https://t.co/MaIQ5YJFtL,Sat Sep 22 12:33:04 +0000 2018,0.7269,0.0,0.504,0.496
137,137,CBS News,Dallas police chief explains why she hasn't fired cop who shot neighbor dead https://t.co/zJptM5AxZL https://t.co/uEEpDQnkW4,Sat Sep 22 12:18:03 +0000 2018,-0.3348,0.213,0.145,0.643
138,138,CBS News,"PayPal bans Alex Jones, InfoWars website from processing payments https://t.co/vEtTBVpnsB https://t.co/j5BTkLz88G",Sat Sep 22 12:07:03 +0000 2018,0.0,0.0,0.0,1.0
139,139,CBS News,"Kavanaugh testimony could be ""more dramatic"" than his accuser's, Jodi Kantor says https://t.co/lq5zwBTUU5 https://t.co/7VJrp9O8c5",Sat Sep 22 11:48:03 +0000 2018,0.0,0.0,0.0,1.0
140,140,CNN,More than 40 dead as Florence-weary Carolinas face more flooding and rising rivers https://t.co/AYNQIDCJJG https://t.co/qupWlK7Cwk,Sat Sep 22 17:45:07 +0000 2018,-0.6771,0.246,0.0,0.754
141,141,CNN,German nationalism threatens Oktoberfest https://t.co/o12BRyVMNm (via @CNNOpinion) https://t.co/EUjGu45sh5,Sat Sep 22 17:30:06 +0000 2018,-0.3818,0.271,0.0,0.729
142,142,CNN,"Britain's Foreign Secretary Jeremy Hunt has urged European Union leaders to get the ""tone"" right in their negotiati… https://t.co/V2KVVaOI1X",Sat Sep 22 17:15:05 +0000 2018,0.0,0.0,0.0,1.0
143,143,CNN,"Here's how Michael Cohen, President Trump's former personal attorney, might be helpful to prosecutors… https://t.co/b1AFzoyLaK",Sat Sep 22 17:00:08 +0000 2018,0.4215,0.0,0.167,0.833
144,144,CNN,Brett Kavanaugh is the least popular Supreme Court nominee in 30 years https://t.co/CfznAY949k https://t.co/t5r8cP5uTc,Sat Sep 22 16:45:08 +0000 2018,0.3111,0.13,0.201,0.669
145,145,CNN,Republicans worry sexual assault allegation against Supreme Court nominee Brett Kavanaugh could drive suburban wome… https://t.co/WqQtuHNyIR,Sat Sep 22 16:30:05 +0000 2018,-0.4767,0.288,0.155,0.558
